------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[139] local 10.5.2.2 port 48710 connected with 10.0.0.2 port 5001
[ ID] Interval       Transfer     Bandwidth
[139] 34.0-35.0 sec  2.25 MBytes  18.9 Mbits/sec
[139] 35.0-36.0 sec  1.88 MBytes  15.7 Mbits/sec
[139] 36.0-37.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 37.0-38.0 sec  1.62 MBytes  13.6 Mbits/sec
[139] 38.0-39.0 sec  1.88 MBytes  15.7 Mbits/sec
[139] 39.0-40.0 sec  1.50 MBytes  12.6 Mbits/sec
[139] 40.0-41.0 sec  1.62 MBytes  13.6 Mbits/sec
[139] 41.0-42.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 42.0-43.0 sec  2.38 MBytes  19.9 Mbits/sec
[139] 43.0-44.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 44.0-45.0 sec  1.75 MBytes  14.7 Mbits/sec
[139] 45.0-46.0 sec  1.50 MBytes  12.6 Mbits/sec
[139] 46.0-47.0 sec  1.75 MBytes  14.7 Mbits/sec
[139] 47.0-48.0 sec  1.50 MBytes  12.6 Mbits/sec
[139] 48.0-49.0 sec  1.38 MBytes  11.5 Mbits/sec
[139] 49.0-50.0 sec  1.12 MBytes  9.44 Mbits/sec
[139] 50.0-51.0 sec  1.50 MBytes  12.6 Mbits/sec
[139] 51.0-52.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 52.0-53.0 sec  6.62 MBytes  55.6 Mbits/sec
[139] 53.0-54.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 54.0-55.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 55.0-56.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 56.0-57.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 57.0-58.0 sec  1.88 MBytes  15.7 Mbits/sec
[139] 58.0-59.0 sec  4.38 MBytes  36.7 Mbits/sec
[139] 59.0-60.0 sec  2.50 MBytes  21.0 Mbits/sec
[139] 60.0-61.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 61.0-62.0 sec  2.25 MBytes  18.9 Mbits/sec
[139] 62.0-63.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 63.0-64.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 64.0-65.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 65.0-66.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 66.0-67.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 67.0-68.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 68.0-69.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 69.0-70.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 70.0-71.0 sec  2.38 MBytes  19.9 Mbits/sec
[139] 71.0-72.0 sec  1.88 MBytes  15.7 Mbits/sec
[139] 72.0-73.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 73.0-74.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 74.0-75.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 75.0-76.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 76.0-77.0 sec  2.25 MBytes  18.9 Mbits/sec
[139] 77.0-78.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 78.0-79.0 sec  0.00 Bytes  0.00 bits/sec
[139] 79.0-80.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 80.0-81.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 81.0-82.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 82.0-83.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 83.0-84.0 sec  1.88 MBytes  15.7 Mbits/sec
[139] 84.0-85.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 85.0-86.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 86.0-87.0 sec  0.00 Bytes  0.00 bits/sec
[139] 87.0-88.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 88.0-89.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 89.0-90.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 90.0-91.0 sec  0.00 Bytes  0.00 bits/sec
[139] 91.0-92.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 92.0-93.0 sec  0.00 Bytes  0.00 bits/sec
[139] 93.0-94.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 94.0-95.0 sec  0.00 Bytes  0.00 bits/sec
[139] 95.0-96.0 sec  0.00 Bytes  0.00 bits/sec
[139] 96.0-97.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 97.0-98.0 sec  0.00 Bytes  0.00 bits/sec
[139] 98.0-99.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 99.0-100.0 sec  0.00 Bytes  0.00 bits/sec
[139] 100.0-101.0 sec  0.00 Bytes  0.00 bits/sec
[139] 101.0-102.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 102.0-103.0 sec  0.00 Bytes  0.00 bits/sec
[139] 103.0-104.0 sec  0.00 Bytes  0.00 bits/sec
[139] 104.0-105.0 sec  1.88 MBytes  15.7 Mbits/sec
[139] 105.0-106.0 sec  0.00 Bytes  0.00 bits/sec
[139] 106.0-107.0 sec  0.00 Bytes  0.00 bits/sec
[139] 107.0-108.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 108.0-109.0 sec  0.00 Bytes  0.00 bits/sec
[139] 109.0-110.0 sec  0.00 Bytes  0.00 bits/sec
[139] 110.0-111.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 111.0-112.0 sec  0.00 Bytes  0.00 bits/sec
[139] 112.0-113.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 113.0-114.0 sec  0.00 Bytes  0.00 bits/sec
[139] 114.0-115.0 sec  0.00 Bytes  0.00 bits/sec
[139] 115.0-116.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 116.0-117.0 sec  0.00 Bytes  0.00 bits/sec
[139] 117.0-118.0 sec  0.00 Bytes  0.00 bits/sec
[139] 118.0-119.0 sec  1.88 MBytes  15.7 Mbits/sec
[139] 119.0-120.0 sec  0.00 Bytes  0.00 bits/sec
[139] 120.0-121.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 121.0-122.0 sec  0.00 Bytes  0.00 bits/sec
[139] 122.0-123.0 sec  2.25 MBytes  18.9 Mbits/sec
[139] 123.0-124.0 sec  0.00 Bytes  0.00 bits/sec
[139] 124.0-125.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 125.0-126.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 126.0-127.0 sec  0.00 Bytes  0.00 bits/sec
[139] 127.0-128.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 128.0-129.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 129.0-130.0 sec  0.00 Bytes  0.00 bits/sec
[139] 130.0-131.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 131.0-132.0 sec  0.00 Bytes  0.00 bits/sec
[139] 132.0-133.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 133.0-134.0 sec  1.62 MBytes  13.6 Mbits/sec
[139] 134.0-135.0 sec   512 KBytes  4.19 Mbits/sec
[139] 135.0-136.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 136.0-137.0 sec  0.00 Bytes  0.00 bits/sec
[139] 137.0-138.0 sec  0.00 Bytes  0.00 bits/sec
[139] 138.0-139.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 139.0-140.0 sec  0.00 Bytes  0.00 bits/sec
[139] 140.0-141.0 sec  0.00 Bytes  0.00 bits/sec
[139] 141.0-142.0 sec  0.00 Bytes  0.00 bits/sec
[139] 142.0-143.0 sec  0.00 Bytes  0.00 bits/sec
[139] 143.0-144.0 sec  0.00 Bytes  0.00 bits/sec
[139] 144.0-145.0 sec  0.00 Bytes  0.00 bits/sec
[139] 145.0-146.0 sec  0.00 Bytes  0.00 bits/sec
[139] 146.0-147.0 sec  0.00 Bytes  0.00 bits/sec
[139] 147.0-148.0 sec  0.00 Bytes  0.00 bits/sec
[139] 148.0-149.0 sec  0.00 Bytes  0.00 bits/sec
[139] 149.0-150.0 sec  0.00 Bytes  0.00 bits/sec
[139] 150.0-151.0 sec  0.00 Bytes  0.00 bits/sec
[139] 151.0-152.0 sec  0.00 Bytes  0.00 bits/sec
[139] 152.0-153.0 sec  0.00 Bytes  0.00 bits/sec
[139] 153.0-154.0 sec  0.00 Bytes  0.00 bits/sec
[139] 154.0-155.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 155.0-156.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 156.0-157.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 157.0-158.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 158.0-159.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 159.0-160.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 160.0-161.0 sec  0.00 Bytes  0.00 bits/sec
[139] 161.0-162.0 sec  2.25 MBytes  18.9 Mbits/sec
[139] 162.0-163.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 163.0-164.0 sec  0.00 Bytes  0.00 bits/sec
[139] 164.0-165.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 165.0-166.0 sec  0.00 Bytes  0.00 bits/sec
[139] 166.0-167.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 167.0-168.0 sec  0.00 Bytes  0.00 bits/sec
[139] 168.0-169.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 169.0-170.0 sec  0.00 Bytes  0.00 bits/sec
[139] 170.0-171.0 sec  0.00 Bytes  0.00 bits/sec
[139] 171.0-172.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 172.0-173.0 sec  0.00 Bytes  0.00 bits/sec
[139] 173.0-174.0 sec  0.00 Bytes  0.00 bits/sec
[139] 174.0-175.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 175.0-176.0 sec  0.00 Bytes  0.00 bits/sec
[139] 176.0-177.0 sec  2.12 MBytes  17.8 Mbits/sec
[139] 177.0-178.0 sec  0.00 Bytes  0.00 bits/sec
[139] 178.0-179.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 179.0-180.0 sec  0.00 Bytes  0.00 bits/sec
[139] 180.0-181.0 sec  0.00 Bytes  0.00 bits/sec
[139] 181.0-182.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 182.0-183.0 sec  0.00 Bytes  0.00 bits/sec
[139] 183.0-184.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 184.0-185.0 sec  0.00 Bytes  0.00 bits/sec
[139] 185.0-186.0 sec  2.00 MBytes  16.8 Mbits/sec
[139] 186.0-187.0 sec  0.00 Bytes  0.00 bits/sec
[139] 187.0-188.0 sec  0.00 Bytes  0.00 bits/sec
[139] 188.0-189.0 sec  2.25 MBytes  18.9 Mbits/sec
[139] 189.0-190.0 sec  0.00 Bytes  0.00 bits/sec
[139] 190.0-191.0 sec  0.00 Bytes  0.00 bits/sec
[139] 191.0-192.0 sec  0.00 Bytes  0.00 bits/sec
[139] 192.0-193.0 sec  0.00 Bytes  0.00 bits/sec
[139] 193.0-194.0 sec  0.00 Bytes  0.00 bits/sec
[139] 194.0-195.0 sec  0.00 Bytes  0.00 bits/sec
[139] 195.0-196.0 sec  0.00 Bytes  0.00 bits/sec
[139] 196.0-197.0 sec  0.00 Bytes  0.00 bits/sec
[139] 197.0-198.0 sec  2.25 MBytes  18.9 Mbits/sec
[139]  0.0-198.7 sec   250 MBytes  10.6 Mbits/sec
